"vs" "exempt_group" "country" "ets_sector" "sec4dig" "carb_int" "trade_int" "ets"
"180" 1 "not exempt" "Germany" "Food/Tobacco" 1571 1.47539734840393 2.77846360206604 1
"181" 1 "not exempt" "Germany" "Food/Tobacco" 1513 0.631669580936432 3.39969992637634 0
"182" 1 "B & CI>5" "Germany" "Chemical&Plastic" 2414 5.42401790618896 46.3888854980469 1
"183" 1 "B & CI<5" "Germany" "Machinery&Optics" 3140 1.69515526294708 54.3646087646484 0
"184" 1 "B & CI<5" "Germany" "Machinery&Optics" 2931 2.46787166595459 31.1117992401123 1
"185" NA "not exempt" "Germany" "Publishing" 2222 0.507722795009613 3.7161238193512 1
"186" 1 "not exempt" "Germany" "Vehicles" 3430 0.51642918586731 24.8008651733398 0
"187" 1 "B & CI<5" "Germany" "Machinery&Optics" 3320 0.132690042257309 59.5875549316406 0
"188" 1 "not exempt" "Germany" "Vehicles" 3430 0.79426246881485 24.9115009307861 1
"189" 5 "not exempt" "Germany" "Cement" 2640 9.81391143798828 2.75300741195679 1
"190" 1 "A" "Germany" "Cement" 2651 45.4931716918945 6.88761568069458 1
"191" 1 NA "Germany" "Food/Tobacco" 1530 NA NA 1
"192" 4 "not exempt" "Germany" "Wood&Paper" 2121 1.76647388935089 5.10495662689209 1
"193" 5 "B & CI>5" "Germany" "Iron&Steel" 2710 10.6765298843384 32.1257591247559 1
"194" 1 "B & CI<5" "Germany" "OtherMinerals" 2681 2.55558729171753 40.611686706543 1
"195" 1 "B & CI>5" "Germany" "Chemical&Plastic" 2413 12.011116027832 31.5650463104248 1
"196" 1 "not exempt" "Germany" "Iron&Steel" 2733 0.439154863357544 4.96476888656616 1
"197" 3 "B & CI<5" "Germany" "Ceramics" 2622 1.48703193664551 29.9972171783447 1
"198" 2 "not exempt" "Germany" "Chemical&Plastic" 2521 1.47096264362335 20.3942050933838 0
"199" 1 "C" "Germany" "Wood&Paper" 2112 10.1789293289185 25.7447624206543 1
"200" NA "not exempt" "Germany" "Chemical&Plastic" 2461 2.58825421333313 15.842845916748 1
"201" 1 "not exempt" "Germany" "Publishing" 2221 2.48655533790588 3.29168891906738 1
"202" NA "C" "Germany" "Fuels" 2320 11.7298154830933 16.0232467651367 1
"203" 2 "B & CI>5" "Germany" "OtherBasicMetals" 2742 13.9908504486084 35.9110412597656 1
"204" 3 "C" "Germany" "Food/Tobacco" 1562 6.99239206314087 14.4942693710327 1
"205" 1 "not exempt" "Germany" "Chemical&Plastic" 2523 0.565686166286469 9.54290866851807 0
"206" 3 NA "Germany" "FabricatedMetals" 2810 NA NA 1
"207" 4 "B & CI>5" "Germany" "Chemical&Plastic" 2413 11.8661661148071 31.7450656890869 1
"208" 4 "not exempt" "Germany" "Chemical&Plastic" 2416 2.81400489807129 27.1072864532471 1
"209" 1 "not exempt" "Germany" "Food/Tobacco" 1596 0.621985793113708 7.04806232452393 1
"210" 1 NA "Germany" "Food/Tobacco" 1550 NA NA 1
"211" 1 "not exempt" "Germany" "Food/Tobacco" 1600 0.275807291269302 12.0580587387085 1
"212" 1 "not exempt" "Germany" "Chemical&Plastic" 2430 2.42968225479126 20.762451171875 1
"213" 3 "not exempt" "Germany" "Chemical&Plastic" 2416 2.84674501419067 27.3250713348389 1
"214" 5 "not exempt" "Germany" "Cement" 2653 17.5152034759521 6.37646913528442 1
"215" 1 "B & CI>5" "Germany" "Iron&Steel" 2710 10.7329196929932 32.3715553283691 1
"216" 1 "not exempt" "Germany" "Food/Tobacco" 1584 0.51050591468811 12.4791402816772 1
"217" 5 "B & CI<5" "Germany" "Ceramics" 2625 1.5535786151886 49.0121994018555 1
"218" 3 "not exempt" "Germany" "Vehicles" 3430 0.63115257024765 24.7714462280273 0
"219" 1 "not exempt" "Germany" "Wood&Paper" 2125 0.753017783164978 13.6600952148438 1
"220" 1 "B & CI<5" "Germany" "FabricatedMetals" 2861 2.5598452091217 64.6887435913086 0
"221" 5 "not exempt" "Germany" "Chemical&Plastic" 2524 0.791849315166473 20.0498714447021 1
"222" 5 "B & CI<5" "Germany" "Chemical&Plastic" 2441 1.2263947725296 85.8104782104492 1
"223" 1 "not exempt" "Germany" "Food/Tobacco" 1589 0.598474144935608 22.2225399017334 1
"224" 1 "B & CI<5" "Germany" "Machinery&Optics" 2956 0.151372045278549 48.6875801086426 0
"225" 1 "not exempt" "Germany" "Publishing" 2224 2.55335068702698 6.2365870475769 1
"226" 1 "B & CI<5" "Germany" "Chemical&Plastic" 2466 1.88911807537079 49.5325622558594 1
"227" 1 "B & CI<5" "Germany" "Chemical&Plastic" 2464 1.33716654777527 65.5838470458984 1
"228" 1 "B & CI<5" "Germany" "Chemical&Plastic" 2464 1.461430311203 65.7175750732422 0
"229" 1 "B & CI<5" "Germany" "Chemical&Plastic" 2442 0.338201522827148 58.5553245544434 1
"230" 1 "C" "Germany" "Wood&Paper" 2112 10.42223072052 25.6560211181641 1
"231" 5 "A" "Germany" "Cement" 2651 45.4900131225586 6.79311800003052 1
"232" 5 "B & CI>5" "Germany" "Iron&Steel" 2710 10.6994915008545 32.3581962585449 1
"233" 1 "not exempt" "Germany" "Wood&Paper" 2030 2.39672183990479 8.88566780090332 1
"234" 1 "not exempt" "Germany" "Food/Tobacco" 1596 0.733949184417725 7.18134450912476 0
"235" 5 "C" "Germany" "Wood&Paper" 2112 10.2116470336914 25.6938552856445 1
"236" 3 "C" "Germany" "Wood&Paper" 2112 10.1267871856689 25.733528137207 1
"237" 1 "not exempt" "Germany" "Food/Tobacco" 1596 0.637749373912811 7.15198993682861 1
"238" 4 "C" "Germany" "Fuels" 2320 11.8266925811768 16.0183448791504 1
"239" 3 "C" "Germany" "Wood&Paper" 2112 10.3092422485352 25.766450881958 1
"240" 1 "not exempt" "Germany" "Food/Tobacco" 1600 0.238845780491829 11.884672164917 1
"241" 3 "A" "Germany" "Cement" 2651 45.5890617370605 6.81587743759155 1
"242" 1 "B & CI<5" "Germany" "Chemical&Plastic" 2441 1.33984363079071 85.885986328125 0
"243" 1 "not exempt" "Germany" "Vehicles" 3430 0.718103170394897 24.9650363922119 1
"244" 1 "C" "Germany" "Wood&Paper" 2112 10.0386095046997 25.6484336853027 1
"245" 5 "C" "Germany" "Glass" 2613 7.19753503799438 24.4169521331787 1
"246" 1 "not exempt" "Germany" "Chemical&Plastic" 2522 1.96284210681915 13.9973697662354 0
"247" 1 "B & CI>5" "Germany" "OtherBasicMetals" 2744 5.53237676620483 34.701530456543 0
"248" 5 "B & CI<5" "Germany" "Wood&Paper" 2010 1.67980217933655 30.9697589874268 0
"249" 1 "B & CI<5" "Germany" "Machinery&Optics" 2952 0.39708736538887 62.9734840393066 0
"250" 1 "not exempt" "Germany" "Chemical&Plastic" 2416 3.00321221351624 26.9871196746826 0
"251" 1 "B & CI<5" "Germany" "Machinery&Optics" 2956 0.0974676534533501 48.7588729858398 0
"252" 1 "not exempt" "Germany" "Food/Tobacco" 1596 0.780956625938416 7.17901039123535 0
"253" 1 "not exempt" "Germany" "Food/Tobacco" 1584 0.548089921474457 12.6590690612793 0
"254" 1 "not exempt" "Germany" "Wood&Paper" 2125 0.638897061347961 13.6287822723389 0
"255" 1 "B & CI>5" "Germany" "OtherBasicMetals" 2745 17.3544807434082 73.8406143188477 1
"256" 1 "not exempt" "Germany" "Chemical&Plastic" 2524 0.824346780776978 20.2020568847656 0
"257" 3 "B & CI<5" "Germany" "FabricatedMetals" 2862 0.460580617189407 42.517505645752 0
"258" 1 "not exempt" "Germany" "Food/Tobacco" 1581 0.526491582393646 0.841866433620453 0
