"sec4dig" "carb_int" "trade_int" "n_install" "emp" "co2" "firm_sec"
"346" 2734 1.73498225212097 21.9185447692871 1 750 12619.5 1
"347" 2640 9.79348754882812 2.83784103393555 1 150 9766 1
"348" 2652 65.2129287719727 2.65750861167908 1 75 217310 1
"349" 2640 9.8679313659668 2.69817638397217 1 3 1490.5 1
"350" 1721 1.19678342342377 58.4620361328125 1 375 3855 1
"351" 2682 1.84562230110168 17.828161239624 1 325 4489.5 1
"352" 1822 0.112457990646362 70.4774780273438 1 5500 4345 1
"353" 2682 1.79848265647888 17.8732662200928 1 75 1326 1
"354" 2851 2.47732090950012 0 1 375 2439.5 1
"355" 2231 2.3961193561554 0 1 750 2892.5 1
"356" 2622 1.45468461513519 30.311595916748 1 750 18408.5 1
"357" 2640 9.52723503112793 2.69953179359436 5 703.75 79572.5 1
"358" 1598 0.585077583789825 6.20760679244995 1.66666662693024 5.83333301544189 0 0.5
"359" 2611 7.98911619186401 20.8749256134033 0.333333343267441 1.16666674613953 0 0.5
"360" 2911 0.721898853778839 50.9448127746582 1 2750 171997 1
"361" 1511 0.913522183895111 10.9753065109253 1 750 4362.5 1
"362" 2640 9.97658443450928 2.6175696849823 1 23 3008 1
"363" 2020 3.71189856529236 23.7337245941162 1 225 3183 1
"364" 3520 0.228265658020973 16.3566761016846 1 375 4517.5 1
"365" 2640 9.6522216796875 2.67700171470642 1 62.6666679382324 40255 1
"366" 2751 17.6000442504883 0 1 375 7520.5 1
"367" 2112 10.150185585022 25.9406604766846 1 625 341029 1
"368" 2682 1.69241762161255 17.8635540008545 1 375 3934 1
"369" 3520 0.0624493211507797 16.4419326782227 1 1083.33337402344 4534.5 1
"370" 1551 1.25954151153564 7.56707906723022 1 50.3333320617676 11560 1
"371" 2651 45.4136810302734 6.7304892539978 2 643.75 1311327.5 1
"372" 2911 0.517297029495239 50.9120750427246 1 562.5 7999 1
"373" 2111 2.38756084442139 46.1945762634277 1 375 45649 1
"374" 2513 1.03264880180359 26.6193790435791 1 576 4452 1
"375" 2414 5.24537467956543 46.3374900817871 1 150 30372.5 1
"376" 2464 1.52284550666809 65.6771697998047 0.100000001490116 15 844.400024414062 0.333333343267441
"377" 2441 1.39592576026917 85.8076400756836 1 1109.66662597656 13156 1
"378" 2640 9.92709255218506 2.61569690704346 1 38 3030.5 1
"379" 2734 2.08507537841797 21.9335613250732 1 NA 77553.5 1
"380" 2111 2.34462308883667 46.1313896179199 0.400000005960464 6 18.3999996185303 0.25
"381" 2112 10.0500020980835 25.7479972839355 0.200000002980232 3 9.19999980926514 0.25
"382" 1551 1.40575277805328 7.52593755722046 0.200000002980232 3 9.19999980926514 0.25
"383" 3210 0.715594470500946 81.4902496337891 0.200000002980232 3 9.19999980926514 0.25
"384" 2830 0.714865624904633 12.5203170776367 1 750 2221 1
"385" 2521 1.51863205432892 20.4327850341797 1 1097.5 15894.5 1
"386" 1589 0.529662728309631 22.0242691040039 1 150 2384.5 1
"387" 3530 0.308464288711548 79.7135925292969 1 251 11974 1
"388" 1551 1.15751254558563 7.57647943496704 0.200000002980232 30 4883.60009765625 0.25
